,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2033,2000-05-23,4.121211999999999,0.008334000000000008,3.49661,0.062228499999999964
2162,2000-05-24,0.04166700000000034,4.099999999999937e-05,4.1125,0.0020830000000000015
2290,2000-05-25,2.659314,-0.00016599999999999254,3.6125000000000003,-0.05208350000000003
2419,2000-05-26,-1.5,0.0022090000000000026,3.2833335,-0.04583299999999996
2547,2000-05-27,3.1250000000000018,0.0002500000000000002,2.9541665,0.052083500000000005
2676,2000-05-28,2.197463000000001,0.011375000000000003,2.1437375,0.07445650000000004
2798,2000-05-29,7.833333,0.0004170000000000007,3.0729165000000007,0.05833349999999998
3046,2000-05-30,1.2678570000000011,0.003041999999999996,2.2602485,-0.0001814999999999456
3145,2000-05-31,1.4166670000000003,-0.012332999999999997,0.27708350000000004,-0.008333000000000035
3438,2000-06-01,20.166667,-0.025042000000000002,1.8229164999999998,0.65
3482,2000-06-02,4.672916999999998,0.009395500000000005,2.76041675,0.21458349999999998
3493,2000-06-03,-0.04166700000000034,0.0029999999999999957,-0.006249999999999867,0.016667000000000043
3504,2000-06-04,7.8295449999999995,-0.0006659999999999965,0.824275,0.12056199999999995
3514,2000-06-05,-0.16666599999999931,-0.007332999999999999,2.0333335,0.08958349999999998
3525,2000-06-06,-5.014492999999999,0.017999999999999995,2.9496895,-0.06802499999999997
3536,2000-06-07,2.249999999999999,0.005041999999999998,0.46041650000000023,0.07916650000000003
3547,2000-06-08,1.375,0.022958999999999993,0.1645835,0.027083500000000038
3558,2000-06-09,9.541667,-0.01725,-0.5395835,0.11041700000000004
3449,2000-06-10,-6.25,0.006833999999999998,1.5729164999999998,0.033333500000000016
3460,2000-06-11,1.0041665000000002,-0.0013750000000000012,2.6083334999999996,0.05833350000000001
3471,2000-06-12,10.147916500000001,-0.011354499999999997,2.8541665000000003,0.389583
612,2000-06-13,5.943182,-0.011333000000000003,1.4109339999999997,0.06458299999999997
742,2000-06-14,0.25,-0.005499999999999998,1.99375,0.03124949999999993
872,2000-06-15,2.0,-0.012417000000000004,1.5916665,0.031250500000000014
1002,2000-06-16,1.2083330000000005,-0.010959000000000003,0.11874999999999991,0.010416999999999982
1133,2000-06-17,0.8333330000000005,-0.0075,0.25,-0.012499999999999983
1264,2000-06-18,-1.4583330000000005,0.0011659999999999934,0.7166665000000001,-0.03125
1394,2000-06-19,1.086957,-0.018916000000000002,0.7046580000000001,0.055525500000000005
1652,2000-06-20,2.8749999999999982,-0.017209,1.2770834999999998,0.0708335
1783,2000-06-21,7.999999999999997,-0.014584,1.289583,0.07708299999999998
1914,2000-06-22,7.6666669999999995,-0.023417,1.552083,0.05833349999999998
2044,2000-06-23,7.125,-0.015208,1.4666665,0.06874999999999998
2173,2000-06-24,4.625000000000001,-0.021791999999999995,0.9604169999999999,-0.05000000000000002
2301,2000-06-25,0.9166670000000021,-0.018042000000000002,0.5791665,-0.03749999999999998
2430,2000-06-26,4.3598490000000005,-0.011458,0.953248,0.04701099999999997
2558,2000-06-27,-4.2083330000000005,-0.0025410000000000016,0.460417,-0.05833350000000001
2687,2000-06-28,1.0984850000000002,0.0019579999999999945,0.875,0.039311999999999986
2809,2000-06-29,0.9583330000000005,0.0018750000000000017,3.0,0.039583499999999994
3057,2000-06-30,2.666666,-0.002792000000000003,3.795833499999999,-0.04583349999999997
3569,2000-07-01,24.583333999999997,-0.021583000000000005,2.072917,0.8020835
3613,2000-07-02,4.2827899999999985,0.013521000000000002,2.2058745,0.36109575
3624,2000-07-03,8.918478,-0.0012499999999999976,0.07738100000000003,0.18333300000000002
3635,2000-07-04,15.541667,-0.0049999999999999975,2.0854165,0.19791650000000002
3645,2000-07-05,-5.214286000000001,-0.005207999999999997,2.013961,-0.06884100000000004
3656,2000-07-06,-0.125,0.016917,1.4083335,-0.05416649999999995
3667,2000-07-07,-1.625,0.011082999999999999,0.2562500000000001,0.022916999999999993
3678,2000-07-08,0.0,0.010874999999999996,-0.37499999999999994,-0.029167000000000054
3689,2000-07-09,12.517857,-0.022919,-0.4264880000000001,0.10833300000000001
3580,2000-07-10,-4.541667,0.009166000000000002,1.6187500000000004,0.03505449999999999
3591,2000-07-11,13.796286000000002,-0.014395499999999997,3.1644025,0.37740025000000005
3602,2000-07-12,12.287500499999997,-0.010437500000000002,4.4874997500000005,0.42499999999999993
623,2000-07-13,8.541666,-0.016291,0.9604165000000001,0.04583350000000003
753,2000-07-14,3.9583329999999997,-0.004457999999999997,0.75625,0.022916999999999965
883,2000-07-15,0.20833400000000069,-0.012999999999999998,0.6708334999999999,0.002083500000000016
1013,2000-07-16,1.1286240000000012,-0.007375,0.0006729999999999237,-0.027445499999999984
1144,2000-07-17,2.0833329999999997,-0.009167000000000002,-0.3416665000000001,0.008333499999999994
1275,2000-07-18,9.844697,-0.005417000000000002,0.39381450000000007,0.151449
1405,2000-07-19,3.083332999999998,0.006542000000000006,0.4604165,0.054166500000000006
1663,2000-07-20,0.5833330000000005,0.015,0.47291700000000003,-0.039583499999999994
1794,2000-07-21,-1.4583339999999998,0.023792,0.34166699999999994,-0.058332999999999996
1925,2000-07-22,-8.833333,0.025708999999999996,0.33541699999999997,-0.0729165
2055,2000-07-23,-1.6123190000000012,0.007207999999999992,0.21590900000000002,-0.04943200000000003
2184,2000-07-24,3.125,-0.0030829999999999955,-0.11875000000000013,0.0
2312,2000-07-25,5.9242420000000005,0.005292000000000005,0.20005149999999994,-0.017029000000000016
2441,2000-07-26,1.375,0.010792000000000003,0.25,-0.06458350000000002
2569,2000-07-27,-2.625,0.015167,0.34791649999999996,-0.03749999999999998
2698,2000-07-28,3.4583329999999997,-0.0075829999999999995,0.4999999999999999,-0.014583500000000027
2820,2000-07-29,1.375,-0.004124999999999997,0.34791649999999996,-0.07500000000000001
3068,2000-07-30,-1.2427539999999997,0.005249999999999991,0.316234,-0.07980099999999998
3156,2000-07-31,7.166667,-0.0015000000000000013,0.8020835,0.035417000000000004
3700,2000-08-01,24.291667,-0.018708,1.7104169999999999,0.5770835000000001
3744,2000-08-02,-0.544426000000005,0.0084165,2.39916525,0.09270875000000012
3755,2000-08-03,3.9583329999999997,0.0025829999999999985,0.2833335000000001,0.039583499999999994
3766,2000-08-04,1.875,0.012000000000000004,2.0333335,0.08125000000000004
3776,2000-08-05,-7.249999999999997,-0.008582999999999997,1.7375,-0.1104165
3787,2000-08-06,-0.7499999999999991,0.007375,0.07916649999999997,-0.125
3798,2000-08-07,2.9583330000000005,8.400000000000421e-05,0.16458299999999998,0.058332999999999996
3809,2000-08-08,7.820652,0.0005000000000000004,-0.574026,0.06657600000000002
3820,2000-08-09,14.083333,-0.005167000000000005,-0.5395835,0.297538
3711,2000-08-10,-12.749999999999998,0.0035420000000000035,1.3229164999999998,-0.10000000000000003
3722,2000-08-11,3.3270835000000023,-0.007937500000000004,3.48020825,0.44895825000000006
3733,2000-08-12,10.375,-0.015645500000000007,4.8958330000000005,0.29062550000000004
634,2000-08-13,3.8333330000000005,0.011374999999999996,0.9208334999999999,0.04583350000000003
764,2000-08-14,1.7083329999999997,0.013832999999999998,1.0125,0.041666499999999995
894,2000-08-15,4.38587,0.0017090000000000022,1.051299,0.10398549999999995
1024,2000-08-16,9.416666,0.0033329999999999957,1.3020835,0.09791649999999996
1155,2000-08-17,1.4420290000000016,0.006667000000000006,0.8687499999999999,-0.00019849999999999035
1286,2000-08-18,4.166666,8.400000000000074e-05,0.4666664999999999,0.127083
1416,2000-08-19,3.4166669999999995,-0.0022090000000000026,0.533333,0.0729165
1674,2000-08-20,0.7916669999999995,0.0028749999999999956,1.5270834999999998,-0.0020834999999999604
1805,2000-08-21,-0.8496369999999995,0.018582999999999995,0.2564314999999999,-0.033333
1936,2000-08-22,2.7409419999999987,0.0015420000000000017,1.3450309999999999,-0.06666650000000002
2066,2000-08-23,-0.3333340000000007,0.008791,1.427083,-0.020833500000000005
2195,2000-08-24,6.0416669999999995,-0.010207999999999995,1.545833,0.09375
2323,2000-08-25,9.125000000000004,-0.007457999999999999,1.49375,0.169674
2831,2000-08-29,2.414855000000001,0.0021670000000000023,1.4729165,0.031331000000000025
3079,2000-08-30,8.596015000000001,-0.015542,1.6553445,0.024358999999999964
3167,2000-08-31,3.6666670000000003,0.0015829999999999976,1.75625,0.005416499999999991
3831,2000-09-01,23.494565,-0.012417000000000003,2.9868509999999997,0.5378625
3875,2000-09-02,6.746104500000005,0.005042000000000001,3.7364777499999997,0.48333325
3886,2000-09-03,11.083333999999997,-0.002166999999999999,0.19791649999999983,0.09538000000000002
3897,2000-09-04,-3.1213759999999997,0.012957999999999997,1.7374999999999998,-0.07083300000000003
3907,2000-09-05,-2.0,-0.00033299999999999996,1.652083,0.002083499999999988
3918,2000-09-06,0.5833339999999989,-0.016874999999999998,-0.37500000000000006,-0.1333335
3929,2000-09-07,5.0634060000000005,-0.0035829999999999994,0.20602999999999982,0.040126999999999996
3940,2000-09-08,5.291667,0.011792000000000004,-0.2958329999999999,0.04999999999999999
3951,2000-09-09,1.6250000000000009,-0.0009999999999999974,-0.7041664999999999,0.135417
3842,2000-09-10,-8.958334,0.005375000000000005,1.6979164999999998,-0.012499499999999941
3853,2000-09-11,4.0020834999999995,-0.009395499999999998,3.990625,0.25416724999999996
3864,2000-09-12,13.895833000000001,-0.018000500000000003,5.478985499999999,0.4778985
645,2000-09-13,9.708334,-0.006375000000000002,0.6979165,0.20416649999999997
775,2000-09-14,10.708333,0.0007090000000000013,0.4083334999999997,0.16041649999999996
905,2000-09-15,2.416666,-0.004167000000000004,-0.49375000000000013,0.024999999999999994
1035,2000-09-16,3.499999999999999,-0.0046659999999999965,0.5125,0.0708335
1166,2000-09-17,2.5416669999999995,-0.007042,0.25624999999999987,0.047917000000000015
1296,2000-09-18,5.0,-0.009374999999999998,-0.10155350000000007,0.08759050000000002
1426,2000-09-19,3.4166670000000003,-0.004374999999999997,0.4999999999999999,0.033334
1685,2000-09-20,3.166666,-0.0053329999999999975,0.24375000000000013,-0.0062500000000000056
1816,2000-09-21,1.7083330000000005,-0.006665999999999998,0.12500000000000022,-0.033333500000000016
1947,2000-09-22,3.833334,-0.01175,0.375,-0.01666650000000003
2077,2000-09-23,-2.9166670000000003,-0.009165999999999997,0.32291650000000005,-0.089583
2206,2000-09-24,3.8333329999999997,-0.017,0.2958335000000001,-0.03541649999999999
2334,2000-09-25,6.445652,-0.005999999999999998,1.2443179999999998,0.083424
2462,2000-09-26,-4.249999999999999,0.007999999999999997,0.7166669999999999,-0.07708349999999997
2590,2000-09-27,7.463768000000001,-0.011042000000000003,-0.14218400000000003,0.0729165
2719,2000-09-28,11.833334,-0.008875000000000001,0.091667,0.139583
2842,2000-09-29,7.166666,-0.005542000000000005,0.5854164999999999,0.1625
3090,2000-09-30,6.7916669999999995,0.0012920000000000015,1.4541665,0.17916700000000002
130,2000-10-01,23.402174000000002,-0.017375,2.583644,1.0375
174,2000-10-02,0.21875,0.006979499999999998,2.890625,0.22187525000000008
185,2000-10-03,11.462121999999995,4.100000000000284e-05,0.24082549999999991,0.11385849999999997
196,2000-10-04,0.625,0.000792000000000008,2.1583335,-5.000000000143778e-07
207,2000-10-05,-2.625,-0.005250000000000001,1.7958329999999998,-0.004167000000000087
218,2000-10-06,2.958334,-0.025291,1.033333,-0.07083350000000002
229,2000-10-07,6.291667,-0.005209000000000002,0.09166649999999987,0.052083500000000005
240,2000-10-08,-0.25833300000000037,0.016541000000000007,-0.1780155000000001,-0.0361745
251,2000-10-09,3.3333330000000005,-0.009250000000000001,-0.8229165,0.15833350000000002
141,2000-10-10,-9.896739,-0.0010000000000000009,0.7481365,-0.04773499999999997
152,2000-10-11,3.2291665000000016,-0.006041500000000009,4.03541675,0.30520824999999996
163,2000-10-12,9.524604499999999,-0.015127500000000002,4.5384965,0.45236725
536,2000-10-13,2.9166659999999993,0.004291999999999999,0.9083329999999998,0.22708300000000003
667,2000-10-14,2.9583329999999997,-0.000792000000000001,0.9479165,0.2250000000000001
797,2000-10-15,-7.291667,0.006333000000000002,1.6583335,0.13750000000000007
927,2000-10-16,0.5833329999999997,-0.0006250000000000006,1.895833,0.11875000000000002
1057,2000-10-17,-1.0,-0.00375,1.5,0.16041700000000003
1188,2000-10-18,-0.125,-0.0061249999999999985,1.11875,0.125
1318,2000-10-19,5.258333000000001,-0.014208000000000005,0.4910450000000002,0.1701085
1577,2000-10-20,-0.5525369999999992,-0.002874999999999999,0.006781000000000148,0.0625
1707,2000-10-21,7.291666,-0.007167,0.0,0.1958335
1838,2000-10-22,2.375,-0.005499999999999998,0.9604169999999999,0.1020835
1969,2000-10-23,1.625,-0.003875,1.8291665000000001,0.08958349999999998
2098,2000-10-24,2.0815219999999997,-0.0024999999999999988,1.5298785,0.151721
2227,2000-10-25,1.4166659999999993,0.00029100000000000306,1.5729165,0.11875000000000002
2355,2000-10-26,-6.5,0.007541000000000001,1.9479164999999998,0.012500000000000067
2483,2000-10-27,0.75,-0.002541999999999999,1.8229165000000003,0.122917
2612,2000-10-28,-2.8351450000000007,0.006500000000000002,1.329167,0.14257200000000003
2741,2000-10-29,-1.7916659999999975,0.0006670000000000009,1.3166665000000002,0.28333300000000006
2991,2000-10-30,-4.291667,0.010792,1.9479165000000003,0.13333299999999998
3112,2000-10-31,3.4474629999999973,0.0009169999999999977,1.8147905,0.10000000000000003
262,2000-11-01,16.916666999999997,-0.011832999999999998,1.6916665000000002,0.8229169999999999
306,2000-11-02,3.905525500000003,0.0017919999999999985,3.1916729999999998,0.3288955
317,2000-11-03,10.291667000000002,0.004,0.8291665000000001,0.11458350000000006
328,2000-11-04,2.7045450000000013,0.0032920000000000033,2.6583335,0.12735500000000005
339,2000-11-05,-4.746212,0.007874999999999997,1.5988095000000002,-0.09375
350,2000-11-06,1.2083330000000005,-0.010792000000000003,1.0729165,-0.09999999999999998
361,2000-11-07,7.981059999999999,-0.0032079999999999956,-0.40208350000000004,0.064855
372,2000-11-08,3.1666669999999995,0.0054590000000000055,0.1312500000000001,0.0062500000000000056
383,2000-11-09,8.132576,-0.008041,-0.7110655,0.245924
273,2000-11-10,-4.333333,-0.007166000000000002,0.6520835,0.091667
284,2000-11-11,-1.9083340000000035,-0.007500000000000003,3.3322915,0.002083499999999988
